id,name,gender,culture,born,died,titles,aliases
1504,Hoke,Male,,,,,Hoke the Horseleg
1505,Holger,Male,,,,,
1506,Holly,Female,Free Folk,"In 283 AC, 284 AC or 285 AC","In 300 AC, at Winterfell",,
1507,Hop-Robin,Male,,,,,
1508,Hot Pie,Male,,,,,
1509,Zollo,Male,Dothraki,,,,Zollo the Fat
1510,Zharaq zo Loraq,Male,Ghiscari,,,,The Liberator
1511,Criston Cole,Male,Stormlands,"In 82 AC, at Blackhaven","In 130 AC, at the Butcher's Ball south of the Gods Eye","Ser, Lord Commander of the Kingsguard, Hand of the King",Criston the Kingmaker
1512,Howd,Male,Free Folk,,,,Wanderer
1513,Hugh Hammer,Male,,,"In 130 AC, at Tumbleton","Ser, Lord of Bitterbridge","Hard Hugh, The Betrayer, Lord Hammer"
1514,Hugor of the Hill,Male,Andal,,,King of the Andals,Hukko (unconfirmed)
1515,Hullen,Male,Northmen,,"In 298 AC, at King's Landing",Master of horse at Winterfell,
1516,Humfrey Clifton,Male,,,,Ser,
1517,Hunnimore,Male,,,,Maester,
1518,Husband,Male,,,,,
1519,Iggo,Male,Dothraki,,"In 299 AC, at Riverlands",,
1520,Illyrio Mopatis,Male,Pentoshi,At Pentos,,Magister of Pentos,"The Cheesemonger, The Fat Man, The Lord of Cheese"
1521,Illyrio's first wife,Female,Pentoshi,At Pentos,At Pentos,,
1522,Ironbelly,Male,,,,,Ironbelly
1523,Irri,Female,Dothraki,In 283 AC or 284 AC,,,
1524,Ithoke,Male,Ghiscari,,,,Fearless Ithoke
1525,Jack,Male,,,,,Jack-Be-Lucky
1526,Jacks,Male,,,,,
1527,Jaehaera Targaryen,Female,Valyrian,In 123 AC,"In 133 AC, at King's Landing","Princess, Queen",
1528,Jaehaerys Targaryen,Male,,In 123 AC,"In 129 AC, at the Tower of the Hand at King's Landing",Prince,
1529,Jafer Flowers,Male,,,"In 298 AC, at the Haunted Forest",,
1530,Jaggot,Male,,,,,
1531,Jalabhar Xho,Male,Summer Isles,,,Prince of the Red Flower Vale,
1532,Jaqen H'ghar,Male,,,,,Lorath
1533,Jarl,Male,Free Folk,,"In 299 AC, at the Wall",,
1534,Jate,Male,,,"In 300 AC, at Riverlands",,
1535,Jate Blackberry,Male,,,,,
1536,Jayde,Female,,,,,
1537,Jayne Bracken,Female,,,,,
1538,Jenny,Female,,,At King's Landing,,"Penny Jenny, Redgrass Jenny"
1539,Jenny of Oldstones,Female,,,,,
1540,Jeren,Male,,,,,
1541,Jeyne,Female,Braavosi,,,,Canker Jeyne
1542,Jeyne,Female,,,,,Squinty Jeyne
1543,Jeyne Heddle,Female,,In 281 AC or 282 AC,,,Long Jeyne
1544,Jeyne Rivers,Female,,,,,
1545,Jeyne Waters,Female,Westeros,In or between 171 AC and 176 AC,,,
1546,Jezhene,Female,Ghiscari,At Meereen,,Cupbearer,Jhezane
1547,Jhaqo,Male,Dothraki,,,"Khal, Ko (formerly)",
1548,Jhiqui,Female,Dothraki,In 284 AC,,,
1549,Jhogo,Male,Dothraki,"In or between 281 AC and 283 AC, at Dothraki sea",,"Ko, Bloodrider",
1550,Jodge,Male,,,,,
1551,Jommo,Male,Dothraki,,,Khal,
1552,Jommy,Male,,,,,
1553,Jon Cupps,Male,,,,Ser,
1554,Jon Heddle,Male,,,,Ser,Long Jon
1555,Jon Penny,Male,,,,,
1556,Jon Pox,Male,,,At Stepstones,,
1557,Jon Vance,Male,,,,Maester,
1558,Jon Waters,Male,,In or between 171 AC and 176 AC,,Ser,
1559,Jonos Bracken,Male,,At Stone Hedge,,Lord of Stone Hedge,
1560,Jorah Mormont,Male,Northmen,In 254 AC (roughly),,"Ser, Lord of Bear Island (stripped)","Jorah the Andal, Bear"
1561,Joramun,Male,Free Folk,,,King-Beyond-the-Wall,
1562,Jorgen,Male,,,,,
1563,Jorquen,Male,,,,Septon,
1564,Joseran,Male,,,,Maester,
1565,Joseth,Male,,,,,
1566,Joss,Male,,,,,
1567,Joss,Male,Braavosi,,,,Joss the Gloom
1568,Joss Stilwood,Male,,,,,
1569,Joth Quickbow,Male,,,At riverlands,,
1570,Joy Hill,Female,,In 288 AC,,,
1571,Jurne,Male,,,,Maester,
1572,Jyana,Female,Crannogmen,,,,
1573,Jyck,Male,,,"In 298 AC, at Mountains of the Moon",,
1574,Jynessa Blackmont,Female,Dornish,,,,
1575,Jyzene,Female,,,,,
1576,Kaeth,Male,,"In 175 AC, 176 AC or 177 AC","In 257 AC or 258 AC, at King's Landing",Grand Maester,
1577,Karl,Male,,,"In 300 AC, at the haunted forest",,Clubfoot Karl
1578,Kedge Whiteye,Male,,In or between 251 AC and 260 AC,,,
1579,Kedry,Male,,,"In 300 AC, at off the coast of the Disputed Lands",Maester,
1580,Kegs,Male,,,,,
1581,Kella,Female,,,,,
1582,Kemmett Pyke,Male,Ironborn,,,,Kemmett the Bastard
1583,Kenned,Male,Ironborn,,"In 299 AC, at Winterfell",,Kenned the Whale
1584,Kennos of Kayce,Male,,,,Ser,
1585,Ketter,Male,,,,,
1586,Kezmya,Female,Ghiscari,At Meereen,,Cupbearer,
1587,Khorane Sathmantes,Male,Lysene,,,,
1588,Khrazz,Male,Ghiscari,In 277 AC (roughly),"In 300 AC, at Meereen",,
1589,Kiera of Tyrosh,Female,Tyroshi,,,Lady,
1590,Kindly Man,Male,Braavosi,,,,The Kindly Man
1591,Kirby Pimm,Male,,,,Ser,
1592,Kojja Mo,Female,Summer Isles,,,,
1593,Koss,Male,,,"In 299 AC, at Gods Eye",,
1594,Kraznys mo Nakloz,Male,Astapori,,"In 299 AC, at Astapor",,
1595,Kromm,Male,Ironborn,At Iron Islands,"In 299 AC, at Winterfell",,
1596,Kurleket,Male,,,"In 298 AC, at Mountains of the Moon",,
1597,Kurz,Male,,,"In 299 AC, at Riverlands",,
1598,Kyle,Male,,,,Ser,"Cat of Misty Moor, Kyle the Cat"
1599,Kyle,Male,,,"In 299 AC, at the burning septry",,
1600,Kyleg,Male,Free Folk,,,,Kyleg of the Wooden Ear
1601,Kym,Male,,,,Maester,
1602,Kyra,Female,,"In 280 AC or 281 AC, at Winter Town","In 300 AC, at Forests near the Dreadfort",,
1603,Lady of the Leaves,Female,,,,Lady of the Leaves,
1604,Lanna,Female,,In 285 AC or 286 AC,,,
1605,Lanna,Female,Braavosi,In 286 AC,,,
1606,Lark,Male,Sistermen,,"In 299 AC, at the haunted forest",,"The Sisterman, Lark the Sisterman"
1607,Larra Blackmont,Female,Dornish,,,Lady of Blackmont,
1608,Larra Rogare,Female,Lysene,"In 115 AC, at Lys","In 145 AC, at Lys",,
1609,Larraq,Male,Ghiscari,,,,The Lash
1610,Layna,Female,,In or between 279 AC and 285 AC,,,
1611,Leathers,Male,Free Folk,In 259 AC or before,,Master-at-Arms,
1612,Left Hand Lew,Male,,,,,
1613,Lem,Male,,,,,"Lem Lemoncloak, The Lemon, Yellow cloak"
1614,Lem,Male,,In or around 161 AC,,,
1615,Lenn,Male,Free Folk,,,,
1616,Lennocks,Male,,,,,
1617,Lenyl,Male,Free Folk,,,,
1618,Leonette Fossoway,Female,,,,Lady,
1619,Lester,Male,,,,,Red Lester
1620,Lew,Male,Northmen,,,,
1621,Lew,Male,,,,,Long Lew
1622,Lewis Lanster,Male,,At Westeros,,,
1623,Lewys,Male,,,,,Lewys the Fishwife
1624,Lharys,Male,,,"In 298 AC, at Mountains of the Moon",,
1625,Lister,Male,,,,,
1626,Lommy,Male,,,"In 299 AC, at Riverlands",,Lommy Greenhands
1627,Lomys,Male,,,,Maester,
1628,Lorcas,Male,,In 241 AC or before,,,
1629,Lord Belgrave,Male,,,,Lord,
1630,Lord of Bones,Male,Free Folk,,"In 300 AC, at Castle Black",,"Rattleshirt, Lord o' Bones, Bag o' Bones"
1631,Loren I Lannister,Male,,,,"King of the Rock (former), Lord of Casterly Rock, Warden of the West, Lord of the Westerlands",Loren the Last
1632,Loreza Sand,Female,Dornish,In 293 AC,,,Loree
1633,Lorimer,Male,,,"In 298 AC, at Riverlands",Ser,Lorimer the Belly
1634,Lormelle,Male,,,,,Lormelle Long Lance
1635,Lorren,Male,,,"In 299 AC, at Winterfell",,Black Lorren
1636,Lothar,Male,,,,Maester,
1637,Lotho Lornel,Male,Braavosi,,,,
1638,Lucan,Male,,,"In 299 AC, at Harrenhal",,
1639,Lucantine Woodwright,Male,,,,Ser,
1640,Lucas Blackwood,Male,,,"In 299 AC, at the Twins",,
1641,Lucas Nayland,Male,,,,Ser,
1642,Lucifer Hardy,Male,,,,Lord,
1643,Luco Prestayn,Male,Braavosi,,,,
1644,Lucos,Male,,,,Septon,
1645,Luke,Male,,,,,Likely Luke
1646,Luke,Male,,At Longtown,,,Luke of Longtown
1647,Lum,Male,,,,,
1648,Luton,Male,Northmen,,"In 300 AC, at Winterfell",,
1649,Luwin,Male,Westeros,,"In 299 AC, at Winterfell",,
1650,Lyanna Stark,Female,Northmen,In 266 AC or 267 AC,"In 283 AC, at Tower of Joy",,"The She-Wolf, The Wolf Maid, Lya"
1651,Lync,Male,,,,,
1652,Lyonel,Male,,,,Ser,
1653,Lysono Maar,Male,Lysene,At Lys,,,
1654,Mad Huntsman,Male,,,,,The Huntsman
1655,Maddy,Female,,,,,
1656,Maerie,Female,,,At Riverlands,Goodwife,
1657,Maerie,Female,,,"In 299 AC, at Riverlands",,Maerie the Whore
1658,Mag Mar Tun Doh Weg,Male,,At Beyond the Wall,"In 300 AC, at Castle Black",,Mag the Mighty
1659,Maggy,Female,,,,,Maggy the Frog
1660,Mago,Male,Dothraki,,,Bloodrider of Khal Jhaqo,
1661,Malcolm,Male,,,,Ser,
1662,Malleon,Male,,,,Grand Maester,
1663,Malliard,Male,,,,Wisdom,
1664,Mallor,Male,,,,Ser,
1665,Mallor,Male,,,,,Mallor the Dornishman
1666,Mance Rayder,Male,Free folk,", at Beyond the Wall",,King-Beyond-the-Wall,"The Mance, Abel, The Unburnt King"
1667,Marei,Female,,In 280 AC or before,,,
1668,Marghaz zo Loraq,Male,Ghiscari,At Meereen,,,
1669,Marianne Vance,Female,,In or between 262 AC and 293 AC,,,
1670,Marillion,Male,,In 279 AC or 280 AC,"In 300 AC, at the Eyrie",,
1671,Maris,Female,Free folk,,,,Black Maris
1672,Maris the Maid,Female,,,,Queen,The Most Fair
1673,Marq Grafton,Male,,,"In 282 AC, at Gulltown",,
1674,Martyn Rivers,Male,,,,,
1675,Marwyn,Male,,,,Archmaester,"Marwyn the Mage, The Mage, The mastiff"
1676,Marya Seaworth,Female,,,,Lady,
1677,Masha Heddle,Female,,,"In 298 AC, at the Riverlands",,
1678,Maslyn,Male,,,"In 299 AC, at Fist of the First Men",,
1679,Mathos Mallarawan,Male,Qartheen,,,,
1680,Matrice,Female,,,,,
1681,Matt,Male,,,At the Riverlands,,Little Matt
1682,Matthar,Male,,,,,Ser Loon
1683,Matthos Seaworth,Male,,,"In 299 AC, at Blackwater Rush",,
1684,Mawney,Male,,,"In 300 AC, at Beyond the Wall",,
1685,Maynard,Male,,,,Ser,
1686,Mazdhan zo Loraq,Male,Ghiscari,,,,The Magnificent
1687,Mebble,Male,,,,,Pinkeye
1688,Medwick Tyrell,Male,,,,Maester,
1689,Meg,Female,,,,,Swampy Meg
1690,Megette,Female,,,In 159 AC,,Merry Meg
1691,Meha,Female,Free Folk,,,,
1692,Meizo Mahr,Male,,,,,
1693,Mela,Female,,,,,
1694,Melaquin,Male,,,,Maester,
1695,Meliana,Female,,,,,Lady Meliana
1696,Mellara Rivers,Female,,,,,
1697,Mellario,Female,Norvoshi,In or between 248 AC and 263 AC,,,Mellario of Norvos
1698,Mellei,Female,,,,,
1699,Mellos,Male,,,,Grand Maester,
1700,Melly,Female,,,,,
1701,Melwys Rivers,Male,,,,Maester,
1702,Meralyn,Male,Braavosi,,,,Merry
1703,Mero,Male,Braavosi,,"In 299 AC, at Meereen",,"The Titan's Bastard, Mero of Braavos"
1704,Merrit,Male,,,,,Merrit o' Moontown
1705,Mezzara,Female,Ghiscari,At Meereen,,Cupbearer,
1706,Mikken,Male,Northmen,,"In 299 AC, at Winterfell",,
1707,Miklaz,Male,Ghiscari,At Meereen,,Cupbearer,
1708,Mirri Maz Duur,Female,Lhazareen,"In 257 AC, 258 AC or 259 AC, at Essos. Either in Lhazar, or in an unnamed Lhazareen settlement of the Dothraki sea.","In 299 AC, at the red waste","Godswife, Maegi",
1709,Missandei,Female,Naathi,"In 288 AC or 289 AC, at Naath",,,
1710,Mohor,Male,,,"In 298 AC, at Mountains of the Moon",,
1711,Mollander,Male,,,,,Hopfrog
1712,Mollos,Male,,,,Archmaester,
1713,Moon Boy,Male,,,,,
1714,Moonshadow,Female,,,,,The Moonshadow
1715,Mord,Male,,,,,
1716,Moredo Prestayn,Male,Braavosi,,,Tradesman-Captain,
1717,Moreo Tumitis,Male,,In 268 AC or before,,,
1718,Morgan Martell,Male,Andal,,,Lord of the Sandship,
1719,Morgarth,Male,,,,Ser,Morgarth the Merry
1720,Morna White Mask,Female,Free Folk,,,,
1721,Moro,Male,Dothraki,,,Khal,
1722,Morosh the Myrman,Male,Myrish,,,,
1723,Morra,Female,,,,,
1724,Morrec,Male,,,"In 298 AC, at Mountains of the Moon",,
1725,Mors Martell,Male,Dornish,,,"Lord of the Sandship, Prince of Dorne",
1726,Mortimer Boggs,Male,,,,Ser,
1727,Morton Waynwood,Male,,,,Ser,
1728,Mother Mole,Female,Free Folk,,,,
1729,Mudge,Male,,,,,
1730,Mudge,Male,,,At Donnelwood,,
1731,Mudge,Male,,,,,
1732,Mullin,Male,,,,Maester,
1733,Mully,Male,,,,,
1734,Munciter,Male,,,,Wisdom,
1735,Munda,Female,Free Folk,,,,
1736,Murch,Male,,,,,
1737,Murch,Male,Northmen,,,,
1738,Murenmure,Male,,,,Maester,
1739,Mushroom,Male,,,In or after 136AC,,Mushroom
1740,Muttering Bill,Male,,,"In 300 AC, at the haunted forest",,
1741,Mya Stone,Female,,"In 279 AC or 280 AC, at The Vale of Arryn",,,
1742,Mycah,Male,Westeros,In 285 AC,"In 298 AC, at Riverlands, near the Ruby Ford.",,
1743,Myles,Male,,,,Maester,
1744,Myles,Male,,,"In 299 AC, at Riverrun",,
1745,Myrtle,Female,Free Folk,,"In 300 AC, at Winterfell",,
1746,Mysaria,Female,Lysene,At Lys,,Mistress of whisperers,"Misery, the White Worm, Lady Misery"
1747,Nage,Male,,,,,
1748,Nail,Male,,,,,
1749,Nan,Female,,,,,Old Nan
1750,Narbert,Male,,,,"Brother, Proctor",
1751,Narbo,Male,Braavosi,,,,Little Narbo
1752,Ned,Male,,,,,
1753,Ned Woods,Male,Northmen,,,,Noseless Ned
1754,Nella,Female,Free Folk,,,,
1755,Nestor Royce,Male,,,,"Keeper of the Gates of the Moon, High Steward of the Vale",
1756,Nettles,Female,,In 113 AC,,,Netty
1757,Nissa Nissa,Female,,,,,
1758,Noho Dimittis,Male,Braavosi,,,,
1759,Nolla,Female,,,At Riverlands,Goodwife,
1760,Norjen,Male,Ironborn,,,,
1761,Normund Tyrell,Male,,,,Maester,
1762,Norne Goodbrother,Male,Ironborn,,,Lord of Shatterstone,
1763,Norren,Male,,,,Archmaester,
1764,Notch,Male,,,,,
1765,Nute,Male,Ironborn,,,Lord of Oakenshield,Nute the Barber
1766,Nymeria Sand,Female,Dornish,In 274 AC or 275 AC,,,Lady Nym
1767,Nymos,Male,,,,Archmaester,
1768,Obara Sand,Female,Dornish,"In 271 AC or 272 AC, at Oldtown",,,
1769,Obella Sand,Female,Dornish,In 287 AC or 288 AC,,,
1770,Oberyn Nymeros Martell,Male,Dornish,In 257 AC or 258 AC,"In 300 AC, at King's Landing",Prince,The Red Viper
1771,Ocley,Male,,,,Archmaester,
1772,Ogo,Male,Dothraki,,"In 298 AC, at Dothraki sea",Khal,
1773,Old Grey Gull,Female,Ironborn,,,,
1774,Old Henly,Female,,In or between 220 AC and 280 AC,"In 299 AC, at Castle Black",,
1775,Old Tattersalt,Female,,,,,Old Tattersalt
1776,Ollo,Male,Tyroshi,,"In 300 AC, at the haunted forest",,Ollo Lophand
1777,Omer Blackberry,Male,,,,,
1778,Omer Florent,Male,,,,Maester,
1779,Orbelo,Male,Braavosi,,,,
1780,Ordello,Male,Pentoshi,,"In 299 AC, at Pentos",Magister of Pentos,
1781,Orell,Male,Free Folk,,"In 299 AC, at Skirling Pass",,
1782,Orland of Oldtown,Male,,,,,Ormond of Oldtown
1783,Ormond,Male,,,"In 299 AC, at Pennytree",Ser,
1784,Oro Tendyris,Male,Braavosi,,,,
1785,Orphan Oss,Male,,,"In 300 AC, at the haunted forest",,
1786,Orwyle,Male,,,,Grand Maester,
1787,Osha,Female,Free Folk,,,,
1788,Ossy,Male,,,,,
1789,Oswyn,Male,,,,,Oswyn Longneck the Thrice-Hanged
1790,Othor,Male,,,"In 298 AC, at the haunted forest",,
1791,Otter Gimpknee,Male,,,,,
1792,Ottomore,Male,,,,,Maester
1793,Owen,Male,,,At Stepstones,,
1794,Owen,Male,,,,,Owen the Oaf
1795,Oznak zo Pahl,Male,Meereenese,,"In 299 AC, at Meereen",,
1796,Palla,Female,Northmen,,,,
1797,Patchface,Male,,,,,Patches
1798,Pate,Male,,In 291 AC or 292 AC,,,
1799,Pate,Male,,,"In 299 AC, at the riverlands",Ser,"Pate of the Blue Fork, Pate of Sevenstreams"
1800,Pate,Male,,,At Riverlands,,Old Pate
1801,Pate,Male,,,"In 209 AC, at Little Dosk",,Pinchbottom Pate
1802,Pate,Male,,,,,Spotted Pate
1803,Pate,Male,,In or between 161 AC and 181 AC,,,
1804,Pate of Lancewood,Male,,,At the Riverlands,,
1805,Pate of Mory,Male,,,At the Riverlands,,
1806,Pate of Shermer's Grove,Male,,,At the Riverlands,,
1807,Patrek Vance,Male,,In or between 264 AC and 294 AC,,,
1808,Pello of Tyrosh,Male,Tyroshi,,,,Greenbeard
1809,Penny,Female,,"In 281 AC, 282 AC or 283 AC",,,Lady Imp
1810,Perros Blackmont,Male,Dornish,,,,
1811,Pia,Female,,At Harrenhal,,,Pretty Pia
1812,Plummer,Male,,,,Steward of Ashford,
1813,Pollitor,Male,,,,Wisdom,
1814,Polliver,Male,,,"In 300 AC, at Inn at the Crossroads",Castellan of Harrenhal,Polly
1815,Pono,Male,Dothraki,,,"Khal, Ko (formerly)",
1816,Porther,Male,Northmen,,,,
1817,Portifer Woodwright,Male,,,,Ser,
1818,Poul Pemford,Male,,,"In 299 AC, at Riverrun",,
1819,Poxy Tym,Male,Northmen,,"In 299 AC, at Winterfell",,
1820,Praed,Male,,,"In 299 AC, at the Crownlands",,
1821,Prendahl na Ghezn,Male,Ghiscari,,"In 299 AC, at Yunkai",,
1822,Puckens,Male,,,,,
1823,Pudding,Male,,,,,
1824,Puddingfoot,Male,,,,,
1825,Pyat Pree,Male,,,,Warlock,
1826,Pycelle,Male,,In 216 AC,"In 300 AC, at the Red Keep, King's Landing",Grand Maester,
1827,Pyg,Male,,,"In 300 AC, at Whispers",,
1828,Pylos,Male,,In 273 AC or 274 AC,,Maester,
1829,Qalen,Male,,,In before 299,Maester,
1830,Qarl,Male,Ironborn,,,,Qarl the Maid
1831,Qarl,Male,Ironborn,,,,Qarl the Thrall
1832,Qarl,Male,Ironborn,,,,Qarl Quickaxe
1833,Qarl Correy,Male,,,,Ser,
1834,Qarl Shepherd,Male,Ironborn,,,,
1835,Qarro Volentin,Male,Braavosi,,,First Sword of Braavos,
1836,Qezza,Female,Ghiscari,At Meereen,,Cupbearer,
1837,Qos,Male,,,,Captain of the Wind Witch,
1838,Qotho,Male,Dothraki,,"In 298 AC, at Dothraki sea",Bloodrider of Khal Drogo,
1839,Quaithe,Female,Asshai,,,,Quaithe of the Shadow
1840,Quaro,Male,Dothraki,,"In 298 AC, at Dothraki sea",,
1841,Quellon Humble,Male,Ironborn,,,,
1842,Quence,Male,Braavosi,,,,
1843,Quent,Male,Northmen,,,,
1844,Quhuru Mo,Male,Summer Isles,,,,
1845,Quill,Male,Braavosi,,,,
1846,Quincy Cox,Male,,,,Serthe Knight of Saltpans,
1847,Quort,Male,,In or between 285 AC and 287 AC,"In +/-299 AC, at Castle Black",,
1848,Qyburn,Male,,In 217AC or after,,Master of whisperers,The Bloody Maester
1849,Qyle,Male,,,"In 299 AC, at Gods Eye",,
1850,Racallio Ryndoon,Male,Tyroshi,,,,
1851,Rafe,Male,,,,,
1852,Rafford,Male,,,"In 300 AC, at Braavos",,Raff the Sweetling
1853,Ragnor Pyke,Male,Ironborn,,,,
1854,Ragwyle,Male,Free folk,,,,
1855,Rainbow Knight,Male,,,,,Rainbow Knight
1856,Rakharo,Male,Dothraki,,,"Ko, Bloodrider of Daenerys Targaryen",
1857,Ralf,Male,Ironborn,,,,Ralf of Lordsport
1858,Ralf,Male,Ironborn,,,,Ralf the Shepherd
1859,Ralf the Limper,Male,Ironborn,,,Captain of the Lord Quellon,
1860,Randa,Female,,,At the Riverlands,,
1861,Rast,Male,,,"In +/- 299 AC, at Castle Black",,Rat
1862,Rat Cook,Male,,,,,Rat Cook
1863,Rawney,Male,,,,Brother,
1864,Raymar Royce,Male,,,,Lord,
1865,Raymond Nayland,Male,,,,Ser,
1866,Raymun Redbeard,Male,Free Folk,,"In 226 AC, at Long Lake",King-Beyond-the-Wall,
1867,Red Lamb,Male,Lhazareen,,,Ser,Red Lamb
1868,Red Oarsman,Male,Ironborn,,,,
1869,Redtusk,Male,,,,Ser,
1870,Rennifer Longwaters,Male,,,,Chief Undergaoler,
1871,Reysen,Male,,,,,
1872,Reznak mo Reznak,Male,Ghiscari,At Meereen,,Seneschal,
1873,Rhaego,Male,,"In 298 AC, at Dothraki Sea","In 298 AC or 299 AC, at Lhazar",,The stallion who mounts the world
1874,Rhaenys Targaryen,Female,Valyrian,"In 25 BC or 26 BC, at Dragonstone","In 10 AC, at Hellholt",Queen,
1875,Rhogoro,Male,Dothraki,,,Khalakka,
1876,Ricasso,Male,,,,Seneschal of Sunspear,
1877,Richard Farrow,Male,,,"In 299 AC, at the Battle of the Blackwater",Ser,
1878,Rigney,Male,,,,Archmaester,
1879,Rob,Male,,,,,Big Rob
1880,Robb Stark,Male,,"283 AC, at Riverrun","299 AC, at the Twins","King in the North, King of the Trident, Lord of Winterfell","The Young Wolf, The King Who Lost the North, Robb the Lord, The Boy Wolf"
1881,Robin,Male,,,At Stepstones,,
1882,Robin Flint,Male,,,"In 299 AC, at the Twins",Lord of Flint's Finger,
1883,Robin Potter,Male,,,,Ser,
1884,Rodrik Arryn,Male,,,,Lord of the Eyrie,
1885,Rodrik Flint,Male,,,,Lord Commander of the Night's Watch,
1886,Rodrik Freeborn,Male,Ironborn,,,,
1887,Roger Hogg,Male,,,,"Ser, Knight of Sow's Horn",
1888,Roger Ryswell,Male,Northmen,,,,
1889,Roger of Pennytree,Male,,At Pennytree,"In 194 AC, at the Redgrass Field",,
1890,Roggo,Male,Braavosi,,,,Red Roggo
1891,Rohanne Webber,Female,,In 185 AC or 186 AC,,"Lady of Coldmoat, Lady of Standfast, Lady of Casterly Rock",The Red Widow
1892,Rolder,Male,,,,,
1893,Rolfe,Male,,,"In 299 AC, at Winterfell",,Red Rolfe
1894,Rolfe,Male,,,,,
1895,Rolland Longthorpe,Male,,,,Lord of Longsister,
1896,Rolley of Sisterton,Male,Sistermen,At Sisterton,"In 299 AC, at Craster's Keep",,
1897,Rolly Duckfield,Male,,At Bitterbridge,,Ser,"Duck, Ser Duck"
1898,Romny Weaver,Male,Ironborn,,,,
1899,Ronald Storm,Male,,,,,
1900,Ronel Rivers,Male,,,,,
1901,Roone,Male,,In 286 AC,,,
1902,Roone,Male,,,,Maester,
1903,Rorge,Male,,,"In 300 AC, at the inn at the crossroads",,"Broken Nose, The Mad Dog of Saltpans, The Hound (II)"
1904,Roro Uhoris,Male,Tyroshi,,At Eastwatch-by-the-sea,Captain of Cobblecat,The Blind Bastard
1905,Rose of Red Lake,Male,,,,,
1906,Rosey,Female,,"In 284 AC or 285 AC, at Oldtown",,,
1907,Rowan,Male,Free folk,,"In 300 AC, at Winterfell",,
1908,Rowan Gold-Tree,Male,,,,,
1909,Rudge,Male,,,,,
1910,Rufus Leek,Male,,,,"Ser, Castellan of the Dun Fort",
1911,Rugen,Male,,,,Undergaoler,
1912,Runciter,Male,,,In 112 AC,Grand Maester,
1913,Rus,Male,Ironborn,,,,
1914,Rusty Flowers,Male,,,,,
1915,Ryam,Male,,,,Archmaester,
1916,Ryger Rivers,Male,,,,,
1917,Ryk,Male,Free Folk,,,,Longspear Ryk
1918,Ryles,Male,,,"In +/- 299 AC, at Beyond the Wall",,
1919,Rymolf,Male,Ironborn,,,,Rymolf Stormdrunk
1920,Rymund,Male,,,,,Rymund the Rhymer
1921,Ryn,Male,,,At the Riverlands,,Anvyl Ryn
1922,Ryon Allyrion,Male,Dornish,,,Ser,
1923,S'vrone,Female,Braavosi,,,,
1924,Saathos,Male,,,,,Saathos the Wise
1925,Salladhor Saan,Male,Lysene,,,"Prince of the Narrow Sea, Lord of Blackwater Bay",Salla
1926,Sallor,Male,Qartheen,,"In +/- 299 AC, at Yunkai",,Sallor the Bald
1927,Salloreon,Male,,,,,
1928,Sam Stoops,Male,,,,,
1929,Samwell Stone,Male,,,,Ser Master-at-arms of Runestone,Strong Sam Stone
1930,Sarella Sand,Female,Dornish,In 280 AC or 281 AC,,,
1931,Satin,Male,,"In 280 AC or 281 AC, at Oldtown",,,
1932,Sawwood,Male,,,,,
1933,Scarb,Male,,,At Meereen,,
1934,Sedgekins,Male,,,,,
1935,Selyse Florent,Female,,,,"Lady, Queen",Light of the North
1936,Senelle,Female,,,In 300 AC,,
1937,Serra,Female,Lysene,,At Pentos,,
1938,Shae,Female,,In 280 AC or 281 AC,"In 300 AC, at King's Landing",,
1939,Shagga son of Dolf,Male,Mountain clans,,,,
1940,Shagwell,Male,,,"In 300 AC, at near the Whispers",,Shagwell the Fool
1941,Sharna,Female,,,,,
1942,Shella,Female,,,,,
1943,Sherrit,Male,,,,King,
1944,Shiera Seastar,Female,Westeros,In or between 178 AC and 184 AC,,,
1945,Shortear,Male,,,,,
1946,Shyra,Female,Northmen,,,,
1947,Sigrin,Male,Ironborn,,,,Sigrin the Shipwright
1948,Skahaz mo Kandaq,Male,Ghiscari,At Meereen,,,"The Shavepate, Skahaz Shavepate"
1949,Skinner,Male,,,,,
1950,Skittrick,Male,Northmen,,,,
1951,Sky Blue Su,Female,,,,,
1952,Skyte,Male,Ironborn,,,,
1953,Sloey,Female,Braavosi,,,,
1954,Small Paul,Male,,,"In 299 AC, at Beyond the Wall",,Cheese-for-wits
1955,Softfoot,Male,,,"In 299 AC, at Beyond the Wall",,
1956,Soren,Male,Free Folk,,,,
1957,Spare Boot,Male,,,,,
1958,Spotted Cat,Male,Ghiscari,,,,
1959,Spotted Pate,Male,,,"In 299 AC, at Castle Black",,Spotted Pate of Maidenpool
1960,Squint,Male,,,"In 299 AC, at Winterfell",,
1961,Squirrel,Female,Free Folk,At Beyond the Wall,"In 300 AC, at Winterfell",,
1962,Stalwart Shield,Male,,,"In 300 AC, at Meereen",,
1963,Stannis Baratheon,Male,,264 AC,,"Master of ships (formerly), Lord of Dragonstone, Lord of Storm's End, Lord Paramount of the Stormlands, King of Westeros","The King in the Narrow Sea, The King of the Painted Table, The King of Dragonstone, The King at the Wall, Azor Ahai reborncome again"
1964,Stannis Seaworth,Male,,In 289 AC or 290 AC,,,
1965,Steeelskin,Male,Ghiscari,,,,
1966,Steely Pate,Male,,,,,
1967,Steffon Seaworth,Male,,In 293 AC,,,
1968,Stiv,Male,Free Folk,,"In 298 AC, at the Wolfswood",,
1969,Stone Thumbs,Male,Free Folk,,"In 299 AC, at Castle Black",,
